,ACRES,ACTIVE,CAUSE,CDATE,DPRIORITY,ECOSTS,EDAMAGE,ENAME,EVENT_ID,F_CONTAIN,GPRIORITY,ITYPE,LATDEG,LATMIN,LOCATE,LONGDEG,LONGMIN,NARRATIVE,NEWACRES,PERSONNEL,REPDATE,STARTDATE,TEAMNAME,TEAMTYPE,UN_UNITID,UN_USTATE,SEQ_NUM,CY,HOUR,START_YEAR,FIRE_EVENT_ID,POO_LATITUDE,POO_LONGITUDE,AREA_MEASUREMENT,IMT_MGMT_ORG_DESC,INCTYP_IDENTIFIER,POO_STATE_NAME,INCIDENT_ID,COMPLEX_NAME,INCIDENT_NAME_CORRECTED,INCIDENT_NUMBER_CORRECTED,DISCOVERY_DATE_CORRECTED
215,1500.0,N,H,4/29/99,,,,JUNEBERRY,MN-MNS-,100.0,,WF,0.0,0.0,Roseau,0.0,0.0,wildfire,0,4.0,1999-04-29,1999-04-28,,,MNS,MN,1,1999,0.0,1999.0,MN-MNS-|1999|1,0.0,-0.0,Acres,,9851,MINNESOTA,,,,,
11603,3143.0,N,H,07/01/2001,,1068935.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,70.0,2.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,"moderation of burning conditions have allowed for a direct attack strategy to continue in the fire suppression actions.  completion of direct line on north and east flands west of structures.fire behavior creeping with some torching.resources threatened active state of alaska timber sales, main wood pole powerline to town of seward alaska, and the alaska railroad.",0,340.0,2001-06-30,2001-06-15,PAUL HEFNER,1,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 1 Team,9851,ALASKA,,,,,
11614,14500.0,N,H,7/1/2001,1,16140000.0,,MARTIS,NV-3HTF-,85.0,,WF,39.0,21.0,8 miles west of Reno Nv,120.0,7.0,majority of activity is in the mt. rose wilderness.  good progress has been made on line construction and mop-up is continuing.  potential threat to re,0,458.0,2001-06-30,2001-06-17,Murphy,2,3HTF,NV,1,2001,0.0,2001.0,NV-3HTF-|2001|1,39.35,-120.11666666666666,Acres,Type 2 Team,9851,NEVADA,,,,,
11619,3143.0,N,H,07/02/2001,,13336682.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,70.0,1.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,fire demonstrated creeping and torching today.  moderation of burning conditions have allowed for a direct attack strategy to continue in fire suppression actions. completion of direct line on north and east flanks west of structures. airtanker drops helped hold this constructed line during peak of afternoon burning conditions.,0,360.0,2001-07-01,2001-06-15,PAUL HEFNER,1,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 1 Team,9851,ALASKA,,,,,
11635,3220.0,N,H,07/02/2001,,1610856.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,80.0,2.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,"moderation of burning conditions has allowed for a direct attack strategy to continue in conducting fire suppression actions.  holding operations for direct line on north and east flanks west of structures continues.  mopup ongoing on west flank, which is accessible by boat.",0,333.0,2001-07-02,2001-06-15,PAUL HEFNER,1,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 1 Team,9851,ALASKA,,,,,
11656,3260.0,N,H,07/03/2001,,1899577.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,100.0,2.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,fire creeping with occasional torching.continued to concentrate on holding of direct line on the north and east flanks west of structures.  mop up continued on west flank. temperatures today much cooler and humidities up compared with past days.,0,329.0,2001-07-03,2001-06-15,PAUL HEFNER,1,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 1 Team,9851,ALASKA,,,,,
11688,3260.0,N,H,07/03/2001,,2110338.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,100.0,2.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,creeping with minimal torching.  holding of direct line on north and east flanks west of structures.  mop up on west flank.,0,322.0,2001-07-04,2001-06-15,PAUL HEFNER,1,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 1 Team,9851,ALASKA,,,,,
11713,3260.0,N,H,07/03/2001,,2110338.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,100.0,2.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,significant demobilization of fire has begun due to extended rains that began early morning of 7/4/01. fire is down to one type 1 crew and three type 2 crews. type 1 team is in process of fully transitioning to a type 2 organization by sometime this weekend. rehab plans are being implemented.,0,175.0,2001-07-05,2001-06-15,PAUL HEFNER,1,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 1 Team,9851,ALASKA,,,,,
11762,3260.0,N,H,07/03/2001,,2451883.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,100.0,2.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,"type 2 team in place since 7/05, mop-up continues on west and east flanks. rain on fire last night and continued in the morning. however, drying conditions are predicted for saturday, july 7.",0,162.0,2001-07-06,2001-06-15,PAUL HEFNER,1,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 1 Team,9851,ALASKA,,,,,
11802,3260.0,N,H,07/03/2001,,2582806.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,100.0,1.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,today fire is creeping with minimal torching.  holding of direct line on north and east flanks west of structures.  mop up oon east flank.  showers again on fire overnight and this morning.  drying conditions predicted for 07-06-01 and 07-07-01.,0,160.0,2001-07-07,2001-06-15,Greg Ariss,2,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 2 Team,9851,ALASKA,,,,,
11831,3260.0,N,H,07/03/2001,,2582806.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,100.0,1.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,fire is being released back to the district at 0600 hours on 7/09/01. type 2 team having closeout in morning then will be in travel status.all assigned resources except those shown on resource list will have been released from fire by mid-day 07/09/01.,0,24.0,2001-07-08,2001-06-15,Greg Ariss,2,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 2 Team,9851,ALASKA,,,,,
11857,3260.0,N,H,07/03/2001,,2582806.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,100.0,1.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,"greg ariss type 2 team debriefing to occur after 1400 07-09.  usfs seward district, mark black type 3 ic to assume fire after debriefing.demob of 3 type 2 crews taking place at 1145 07-09. rehabilitation of icp campground completed am of 07-09.**this is the concluding narrative for kenai lake, barring unforseen   events.**",0,125.0,2001-07-09,2001-06-15,Greg Ariss,2,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 2 Team,9851,ALASKA,,,,,
11863,123.0,N,L,11/01/2001,1,,,CARPENTER,CO-MRD-016,0.0,,WFU,38.0,26.0,"4.5 MILES NORTH OF PARADOX, CO",108.0,53.0,"this fire is being managed for resource benefit.  helo dropping water on the northern edge, still monitoring.  putting up quite a bit of smoke all day.",0,13.0,2001-07-09,2001-06-29,,,MRD,CO,1,2001,0.0,2001.0,CO-MRD-016|2001|1,38.43333333333333,-108.88333333333334,Acres,,1,COLORADO,,,,,
11883,3260.0,N,H,07/03/2001,,2582806.0,,NORTH SHORE KENAI LAKE,AK-CGF-00082,100.0,1.0,WF,60.0,24.0,12 MILES NORTH BY NORTHWEST OF SEWARD,149.0,31.0,nan,0,125.0,2001-07-10,2001-06-15,Greg Ariss,2,CGF,AK,1,2001,0.0,2001.0,AK-CGF-00082|2001|1,60.4,-149.51666666666668,Acres,Type 2 Team,9851,ALASKA,,,,,
11984,2500.0,N,L,,,,,WAGNER MOUNTAIN,OR-PRD-675,0.0,7.0,WF,44.0,48.0,10 miles SE of Clarno,120.0,23.0,this fire is now part of grass valley complex. acres reflected in grass valley total includes these acres.,0,60.0,2001-07-14,2001-07-11,Guy Chamness,3,PRD,OR,1,2001,0.0,2001.0,OR-PRD-675|2001|1,44.8,-120.38333333333334,Acres,Type 3 Team,9851,OREGON,,,,,
12007,1000.0,N,L,7/15/01,,,,FROZEN DOG,ID-BOF-F199,80.0,,WF,43.0,51.0,"one mile east of Emmet, ID",116.0,26.0,"anticipate that resources currently assigned to the fire will start being demobed this evening.  rural fire departments were early this morning after threat to structures was eliminated.  this fire initially started as three separate lightning strike fires which later burned together.  the fires burned close to the town of emmett, finally merging into one blaze.  crews through the night to secure control lines, conducting burnouts and building dozer lines to protect structures and agricultural land.  the area has a fairly high scenic value due to proximity to emmett.  one local road was closed to traffic because of onlookers approaching the fire during a burnout operation last night.",0,117.0,2001-07-15,2001-07-14,Whittier/Huston,3,BOD,ID,1,2001,0.0,2001.0,ID-BOF-F199|2001|1,43.85,-116.43333333333334,Acres,Type 3 Team,9851,IDAHO,,,,,
12039,1000.0,N,L,07/15/2001,,,,FROZEN DOG,ID-BOF-F199,80.0,,WF,43.0,51.0,"one mile east of Emmet, ID",116.0,26.0,fire is demobed.  one local road was closed to traffic because of onlookers approaching the fire during a burnout operation last night.,0,0.0,2001-07-16,2001-07-14,Whittier/Huston,3,BOD,ID,1,2001,0.0,2001.0,ID-BOF-F199|2001|1,43.85,-116.43333333333334,Acres,Type 3 Team,9851,IDAHO,,,,,
12540,700.0,N,L,,4,,,IRON MOUNTAIN,OR-VAD-182,0.0,,WF,42.0,55.0,"7 MI NW OF ROME, OREGON",117.0,45.0,"this lightning caused fire is 7 miles northwest of rome, or.  observed fire behavior was running.",0,,2001-08-09,2001-08-09,,4,VAD,OR,1,2001,0.0,2001.0,OR-VAD-182|2001|1,42.916666666666664,-117.75,Acres,Type 3 IC,9851,OREGON,,,,,
12587,100.0,N,L,08/10/2001,,,,DEER,CA-MDF-582,100.0,,WF,41.0,35.0,15 MILES NORTH-WEST OF CANBY,121.0,8.0,hot tempratures nad low relative humidities.this fire was absorbed into the modoc complex,0,55.0,2001-08-11,2001-08-08,HAIGHT,3,MDF,CA,1,2001,0.0,2001.0,CA-MDF-582|2001|1,41.583333333333336,-121.13333333333334,Acres,Type 3 Team,9851,CALIFORNIA,,,,,
12600,950.0,N,L,8/11/01,,,,QUINN RIVER,J420,50.0,,WF,41.0,36.0,South fork Quinn River @ Jakes Crk.,117.0,30.0,crew vehicle broke down. 9 people need rides back to town.  crews making good progress. monitering fire status.,0,88.0,2001-08-11,2001-08-10,Andrew Dave,3,WID,NV,1,2001,0.0,2001.0,J420|2001|1,41.6,-117.5,Acres,Type 3 Team,9851,NEVADA,,,,,
12615,3500.0,N,L,,,,,MUSTANG,OR-LAD-405,10.0,,WF,43.0,10.0,"7 Mi SE of Wagontire, OR.",119.0,46.0,the fire is burning actively in light fuels.  gusty winds have pushed the fire into inaccessable terrain.,0,31.0,2001-08-11,2001-08-11,Crumrine,3,LAD,OR,1,2001,0.0,2001.0,OR-LAD-405|2001|1,43.166666666666664,-119.76666666666667,Acres,Type 3 Team,9851,OREGON,,,,,
12626,100.0,N,L,08/10/2001,,,,DEER,CA-MDF-582,100.0,,WF,41.0,35.0,15 MILES NORTH-WEST OF CANBY,121.0,8.0,hot tempratures nad low relative humidities.this fire was absorbed into the modoc complex,0,55.0,2001-08-12,2001-08-08,HAIGHT,3,MDF,CA,1,2001,0.0,2001.0,CA-MDF-582|2001|1,41.583333333333336,-121.13333333333334,Acres,Type 3 Team,9851,CALIFORNIA,,,,,
12641,1259.0,N,L,08/12/2001,,,,QUINN RIVER,J420,100.0,,WF,41.0,36.0,South fork Quinn River @ Jakes Crk.,117.0,30.0,monitering fire status.,0,63.0,2001-08-12,2001-08-10,Andrew Dave,3,WID,NV,1,2001,0.0,2001.0,J420|2001|1,41.6,-117.5,Acres,Type 3 Team,9851,NEVADA,,,,,
12760,7000.0,N,L,,,,,HOT LAKE,NV-EKD-X-305,0.0,,WF,0.0,0.0,"8 miles south of Midas, NV",0.0,0.0,as of today 8/14 the hot lake is a portion of the buffalo complex...from now on (including today) the info will be on the buffalo x286 large fire report.,0,25.0,2001-08-14,2001-08-12,Ellis,3,EKD,NV,1,2001,0.0,2001.0,NV-EKD-X-305|2001|1,0.0,-0.0,Acres,Type 3 Team,9851,NEVADA,,,,,
12776,150.0,N,L,,,,,OLALLIE COMPLEX,OR-WSA-099,,,WF,0.0,0.0,,0.0,0.0,the fire complex is managed as a complex with the warm springs indian reservation and the mt hood national forest.  the 209 will be submitted by the mt hood national forest.,0,,2001-08-14,2001-08-14,Bue Mountain,2,WSA,OR,1,2001,0.0,2001.0,OR-WSA-099|2001|1,0.0,-0.0,Acres,Type 2 Team,9851,OREGON,,,,,
12881,8520.0,N,L,8/18,,,,BAKER COMPLEX,OR-VAD-225,30.0,12.0,WF,0.0,0.0,"Vicinity of Baker, Ore.",0.0,0.0,"this block combines the acreage of the morgan mountain, cavannah, and white swan fires which will all become the baker complex beginning on 8/17.  a type 2 team (hartman) has assumed command of this complex as of 8/16, 1800.  tomorrow all fires will be reported under baker complex and the individual records will be inactivated.",0,120.0,2001-08-16,2001-08-16,Hartman,2,VAD,OR,1,2001,0.0,2001.0,OR-VAD-225|2001|1,0.0,-0.0,Acres,Type 2 Team,9851,OREGON,,,,,
12889,1400.0,N,L,,,,,TONASKET COMPLEX,WA-OKF-097,30.0,6.0,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,red flag warning for high haines index and low rh today and into the evening. 50 structures threatened at the cape labelle fire.  other threats include forestland and livestock.  the flashy fuels and extreme fire behavior will continue causing control problems. possibility of dry lightning with erratic winds. spotting continues to occur on all three fires.,0,,2001-08-16,2001-08-13,Dunton / Andring,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
12930,9260.0,N,L,8/17,1,137000.0,,BAKER COMPLEX,OR-VAD-225,100.0,12.0,WF,44.0,44.0,"10 to 30 miles SE of Baker City, Ore.",117.0,38.0,"a federal incident command team (hartman) is assigned.  this complex consists of the morgan mountain, cavannah, white swan and durkee fires. intense fire behavior and flame lengths of 12-15 feet were observed today during burnout operations in heavy fuels.  a burnout was completed on the morgan mountain fire.  limited rehab work was begun.  the fire was contained 8/17 at 1800.  team scheduled to demob on sunday 8/19.",0,242.0,2001-08-17,2001-08-16,Hartman,2,VAD,OR,1,2001,0.0,2001.0,OR-VAD-225|2001|1,44.733333333333334,-117.63333333333334,Acres,Type 2 Team,9851,OREGON,,,,,
12936,2050.0,N,L,9/04/01,1,,,TONASKET COMPLEX,WA-OKF-097,22.0,5.0,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,a state of washington incident management team (dunton) is assigned.  red flag warning for high haines index and low rh today and into the evening. 50 structures threatened at the cape labelle fire & 100 structures threatened at the bailey fire .  other threats include forestland and livestock.  the flashy fuels and extreme fire behavior will continue causing control problems. possibility of dry lightning with erratic winds. spotting continues to occur on all three fires.  a fourth fire from the thirty mile's northeast tip that caused a 200 acre slop over will be incorporated into the tonasket complex on 8-17-01.,0,543.0,2001-08-17,2001-08-13,Dunton / Andring,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
12979,8884.0,N,L,8/17,1,316.0,,BAKER COMPLEX,OR-VAD-225,100.0,12.0,WF,44.0,44.0,"10 to 30 miles SE of Baker City, Ore.",117.0,38.0,"a federal type ii incident command team (hartman) is assigned.  this complex consists of the morgan mountain, cavannah, white swan and durkee fires. minimal fire activity occurred today.  the team is currently mopping up the situation and preparing to transition to a type 3 ic on sunday 8/19.",0,266.0,2001-08-18,2001-08-16,Hartman,2,VAD,OR,1,2001,0.0,2001.0,OR-VAD-225|2001|1,44.733333333333334,-117.63333333333334,Acres,Type 2 Team,9851,OREGON,,,,,
12988,2940.0,N,L,9/04/01,1,877000.0,,TONASKET COMPLEX,WA-OKF-097,22.0,5.0,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,"a washington interagency incident management team (dunton) is assigned.  crews are continuing to build line and mop up.  the long swamp fire was added to the complex and crews were put on it this morning.  estimates are that the long swamp fire is at 100 acres.  complex is now made up of the bailey, long swamp, labelle, and windy ridge fires.",0,643.0,2001-08-18,2001-08-13,Dunton / Andring,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
12993,5000.0,N,H,,,,,GOODNOE HILLS,WA-WFS-013,0.0,,WF,0.0,0.0,2 miles from Goldendale,0.0,0.0,fire is a new start.  it is burning in wheatfields and open farmland.  assistance is coming over from the virginia lakes complex.  exremely dry and windy conditions exist.,0,,2001-08-18,2001-08-18,,,WFS,WA,1,2001,0.0,2001.0,WA-WFS-013|2001|1,0.0,-0.0,Acres,,9851,WASHINGTON,,,,,
13044,3094.0,N,L,8/27,1,1278000.0,,TONASKET COMPLEX,WA-OKF-097,22.0,9.0,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,"a washington interagency incident management team (dunton) is assigned.  crews are continuing to build line and mop up the labelle fire. helicopter drops have kept the fire inside firelines.  the long swamp fire was added to the complex on 8/18. estimates are that the long swamp fire is at 240 acres.  complex is now made up of the bailey(2,190), long swamp(240), labelle(170), and windy ridge(480)fires.",0,758.0,2001-08-19,2001-08-13,Dunton / Andring,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
13107,3600.0,N,L,8/27,1,1793000.0,,TONASKET COMPLEX,WA-OKF-097,22.0,9.0,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,a washington interagency incident management team (dunton) is assigned.  mopup is continuing on labelle and is expected to be contained by end of shift tomorrow.  the bailey fire is burning in heavy fuels with torching and spotting.  homes in the aeneas valley remain at level one evacuation and labelle are is at level ii.  increased winds are predicted for tomorrow afternoon which may be followed by showers.  windy peak and long swamp have not grown in the last 24 hours.,0,943.0,2001-08-20,2001-08-13,Dunton / Andring,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
13154,8884.0,N,L,8/17,1,316.0,,BAKER COMPLEX,OR-VAD-225,100.0,,WF,44.0,44.0,"10 to 30 miles SE of Baker City, Ore.",117.0,38.0,fire was controlled 8/19/01 at 1400.  four engines continue to patrol and mop-up.,0,14.0,2001-08-21,2001-08-16,Hartman,2,VAD,OR,1,2001,0.0,2001.0,OR-VAD-225|2001|1,44.733333333333334,-117.63333333333334,Acres,Type 2 Team,9851,OREGON,,,,,
13166,3790.0,N,L,8/27,1,2420000.0,,TONASKET COMPLEX,WA-OKF-097,40.0,7.0,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,a washington interagency incident management team (dunton) is assigned.  the weather front caused spotting on the bailey fire with multiple spots.  crews were pulled off the line temporarily.  the labelle fire crews continued mopup.,0,1022.0,2001-08-21,2001-08-13,Dunton / Andring,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
13217,3790.0,N,L,8/27,1,3608000.0,,TONASKET COMPLEX,WA-OKF-097,48.0,7.0,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,a washington interagency incident management team (dunton) is assigned.  the scatttered rain today has added in the fire fighter efforts.  another cool day forecasted for tommorow with a warming trend to follow.  the labelle fire crews continued mopup.,0,1038.0,2001-08-22,2001-08-13,Dunton / Andring,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
13259,3790.0,N,L,8/27,1,3952000.0,,TONASKET COMPLEX,WA-OKF-097,48.0,7.0,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,a washington interagency incident management team (dunton) is assigned.  some rain occurred overnight on the complex.  crews continue to mopup on the labelle fire and are implementing the rehab plan.  line construction continues on the bailey fire and crews made significant progress.  transition of the long swamp/ windy peak to imt 4 will occur on 8-24/  the bailey fire will transition to the virginia complex.,0,990.0,2001-08-23,2001-08-13,Dunton / Andring,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
13298,3790.0,N,L,8/27,1,3969000.0,,TONASKET COMPLEX,WA-OKF-097,48.0,7.0,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,a washington interagency incident management team (dunton) is assigned.  crews continue to mopup on the labelle fire and are implementing the rehab plan.  line construction continues on the bailey fire and crews made significant progress.  transition of the long swamp/ windy peak is complete.  the bailey fire will transition to the virginia complex.,0,930.0,2001-08-24,2001-08-13,Dunton,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
13338,170.0,N,L,8/27,1,4461000.0,,TONASKET COMPLEX,WA-OKF-097,100.0,,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,a washington interagency incident management team (dunton) is assigned.  crews continue to mopup on the labelle fire and are implementing the rehabilitation plan.  the bailey fire has been turned over to the virginia lake complex and the windy peak and long swamp fires are now part of the windy swamp complex.,0,849.0,2001-08-25,2001-08-13,Dunton,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
13378,170.0,N,L,8/27,1,4461000.0,,TONASKET COMPLEX,WA-OKF-097,100.0,,WF,48.0,53.0,"16 Mi E/SE & 25 Mi NW of Tonasket, WA",119.0,57.0,a washington interagency incident management team (dunton) is assigned.  crews continue to mopup on the labelle fire and are implementing the rehabilitation plan.  the bailey fire has been turned over to the virginia lake complex and the windy peak and long swamp fires are now part of the windy swamp complex.,0,849.0,2001-08-26,2001-08-13,Dunton,2,OKF,WA,1,2001,0.0,2001.0,WA-OKF-097|2001|1,48.88333333333333,-119.95,Acres,Type 2 Team,9851,WASHINGTON,,,,,
13532,2719.0,N,L,8-25-01,,5447926.0,,OLALLIE COMPLEX,OR-WSA-099,100.0,,WF,44.0,48.0,"25 mi. e. of Detroit,25 mi. NW of Warm S",121.0,47.0,the fire complex is managed as a complex with the warm springs indian reservation and the mt hood national forest.  the 209 will be submitted by the mt hood national forest.,0,27.0,2001-08-30,2001-08-14,G. Robinson,3,WSA,OR,1,2001,0.0,2001.0,OR-WSA-099|2001|1,44.8,-121.78333333333333,Acres,Type 3 Team,9851,OREGON,,,,,
13569,2719.0,N,L,8-25-01,,5447926.0,,OLALLIE COMPLEX,OR-WSA-099,100.0,,WF,44.0,48.0,"25 mi. e. of Detroit,25 mi. NW of Warm S",121.0,47.0,the fire complex is managed as a complex with the warm springs indian reservation and the mt hood national forest.  the 209 will remain the,0,27.0,2001-08-31,2001-08-14,G. Robinson,3,WSA,OR,1,2001,0.0,2001.0,OR-WSA-099|2001|1,44.8,-121.78333333333333,Acres,Type 3 Team,9851,OREGON,,,,,
14449,2500.0,N,H,10/17/01,,150000.0,,14620-9261-1071,SNYDER CANYON,100.0,,WF,42.0,41.0,45 NE of Lakeview OR,119.0,34.0,"demob at 1600 winema hotshots, safety officer, 2 blm engines, comp tech expected to demob fire 10/18/01  finished line building along west perimeter today.  crews picked up heat in junipers and mopped up with helicopter bucket support. demob starting today, released type ii with 24 person module.",0,,2001-10-17,,Farinetti,3,SHR,OR,1,2001,0.0,2001.0,SNYDER CANYON|2001|1,42.68333333333333,-119.56666666666666,Acres,Type 3 Team,9851,OREGON,,,,,
14478,1000.0,N,H,10/26/2001,,,,70,CA-BTU-12700,30.0,,WF,39.0,50.0,25 MILES NORTH OF OROVILLE,121.0,25.0,hwy 70 closed at hwy 149 (south) and hwy 89 (north).  evacuation advisory only.,0,1107.0,2001-10-24,2001-10-24,BILL HOLMES,1,BTU,CA,1,2001,0.0,2001.0,CA-BTU-12700|2001|1,39.833333333333336,-121.41666666666667,Acres,Type 1 Team,9851,CALIFORNIA,,,,,
14500,450.0,N,H,10/28/2001,1,,,REDBIRD FALL FIRES,KY-DBF-02042,60.0,,WF,37.0,8.0,"9 MI. EAST OF MANCHESTER, KY",83.0,35.0,this incident includes a total of 13 fires with a total of 3 new fires today for 115 acres.  containment is expected on 10/28.  conditions remain dry and additional arson fires are likely with the halloween weekend.,0,70.0,2001-10-27,2001-10-24,IC - HOWARD HANN,4,DBF,KY,1,2001,0.0,2001.0,KY-DBF-02042|2001|1,37.13333333333333,-83.58333333333333,Acres,Type 3 IC,9851,KENTUCKY,,,,,
14510,2328.0,N,H,11/03/01,1,,,REDBIRD FALL FIRES,KY-DBF-02042,27.0,,WF,37.0,9.0,"9 MI. EAST OF MANCHESTER, KY",83.0,29.0,"this incident includes a total of 13 fires which are currently uncontrolled.  a total of 5 new fires on this incident on 10/28.  two of the large fires reported today were from fires that originally started a few days ago on state and private lands and have now burned onto government.  conditions remain dry and additional arson fires are likely as halloween approaches.  mop-up is expected to continue.  helicopter 16973 flew a total of 3.5 hours today - dropped 2,800 gallons.  two large fires were added to this incident near the community of panco.  structure protection took place today on 100+ structures.  current # of structures threatened include 15 residences.  fuels involved include hardwood litter.  cooperating agencies include:  bureau of indian affairs, national park service & burea of prisons, redbird mission.",0,110.0,2001-10-28,2001-10-24,IC - HOWARD HANN,3,DBF,KY,1,2001,0.0,2001.0,KY-DBF-02042|2001|1,37.15,-83.48333333333333,Acres,Type 3 Team,9851,KENTUCKY,,,,,
14528,3101.0,N,H,11/03/01,1,,,REDBIRD FALL FIRES,KY-DBF-02042,30.0,,WF,37.0,9.0,"9 MI. EAST OF MANCHESTER, KY",83.0,29.0,"this incident includes a total of 22 fires.  at this time, 14 fires remain uncontrolled.  a total of 2 new fires on this incident today (10/29).  one fire for 150 acres and one fire for 25 acres.    type ii helicopter 973 flew 3.5 hours today on this incident and dropped 9,000 gallons.  t64 & t18 also assisted with structure protection today along with air attack 01q.  conditions remain dry and additional arson fires are likely as halloween approaches on wednesday.  mop-up is expected to continue.  fuels involved include hardwood litter.  cooperating agencies include:  bureau of indian affairs, national park service, burea of prisons, redbird mission, & wi dnr.  three of the type 2 crews listed on the table below consist of 3 10-person job corps crews from the frenchburg & pine knot jcc.  these crews will likely be released on 10/30 back to the forest to be available as initial attack resources as needed across the forest.",0,163.0,2001-10-29,2001-10-24,HOWARD HANN,3,DBF,KY,1,2001,0.0,2001.0,KY-DBF-02042|2001|1,37.15,-83.48333333333333,Acres,Type 3 Team,9851,KENTUCKY,,,,,
