,ADDNTL_FUEL_MODEL_IDENTIFIER,ANTICIPATED_COMPLETION_DATE,APPROVED_BY,APPROVED_DATE,AREA_CLOSURE_FLAG,CAUSE_IDENTIFIER,COMPLEXITY_LEVEL_IDENTIFIER,COMPLEXITY_LEVEL_NARR,CREATED_BY,CREATED_DATE,CRIT_RES_NEEDS_12,CRIT_RES_NEEDS_24,CRIT_RES_NEEDS_48,CRIT_RES_NEEDS_72,CRIT_RES_NEEDS_GT72,CURRENT_THREAT_12,CURRENT_THREAT_24,CURRENT_THREAT_48,CURRENT_THREAT_72,CURRENT_THREAT_GT72,CURR_INCIDENT_AREA,CURR_INC_AREA_UOM_IDENTIFIER,CY,DATA_ENTRY_STATUS,DISCOVERY_DATE,DISPATCH_PRIORITY,DONWCGU_PROT_UNIT_IDENTIFIER,EST_IM_COST_TO_DATE,EXPECTED_CONTAINMENT_DATE,FIRE_BEHAVIOR_1_IDENTIFIER,FIRE_BEHAVIOR_2_IDENTIFIER,FIRE_BEHAVIOR_3_IDENTIFIER,FUEL_MODEL_IDENTIFIER,GACC_PRIORITY,GEN_FIRE_BEHAVIOR_IDENTIFIER,HAZARDS_MATLS_INVOLVMENT_NARR,ID,INC209R_IDENTIFIER,INCIDENT_COMMANDERS_NARR,INCIDENT_DESCRIPTION,INCIDENT_JURISDICTION,INCIDENT_NAME,INCIDENT_NUMBER,INCTYP_IDENTIFIER,INC_IDENTIFIER,INC_MGMT_ORG_IDENTIFIER,LAST_MODIFIED_BY,LAST_MODIFIED_DATE,LIFE_SAFETY_HEALTH_STATUS_NARR,LOCAL_TIMEZONE_IDENTIFIER,MANAGEMENT_CODE,PCT_CONTAINED_COMPLETED,PCT_CONT_COMPL_UOM_IDENTIFIER,PCT_PERIM_TO_BE_CONTAINED,PLANNED_ACTIONS,POO_CITY,POO_COUNTY_CODE,POO_DONWCGU_OWN_IDENTIFIER,POO_LATITUDE,POO_LD_PM_IDENTIFIER,POO_LD_QTR_QTR_QTR_QTR_SEC,POO_LD_QTR_QTR_QTR_SEC,POO_LD_QTR_QTR_SEC,POO_LD_QTR_SEC,POO_LD_RGE,POO_LD_SEC,POO_LD_TWP,POO_LONGITUDE,POO_SHORT_LOCATION_DESC,POO_STATE_CODE,POO_US_NGR_XCOORD,POO_US_NGR_YCOORD,POO_US_NGR_ZONE,POO_UTM_EASTING,POO_UTM_NORTHING,POO_UTM_ZONE,PREPARED_BY,PREPARED_DATE,PROJECTED_ACTIVITY_12,PROJECTED_ACTIVITY_24,PROJECTED_ACTIVITY_48,PROJECTED_ACTIVITY_72,PROJECTED_ACTIVITY_GT72,PROJECTED_FINAL_IM_COST,PROJ_INCIDENT_AREA,PROJ_INC_AREA_UOM_IDENTIFIER,PROJ_SIG_RES_DEMOB_START_DATE,REMARKS,REPORT_FROM_DATE,REPORT_NUMBER,REPORT_TO_DATE,ROAD_CLOSURE_FLAG,SECNDRY_FUEL_MODEL_IDENTIFIER,SIGNIF_EVENTS_SUMMARY,SINGLE_COMPLEX_FLAG,STATUS,STRATEGIC_DISCUSSION,STRATEGIC_OBJECTIVES,SUBMITTED_DATE,SUBMITTED_TO,TRAIL_CLOSURE_FLAG,UNIFIED_COMMAND_FLAG,UNIT_OR_OTHER_NARR,WEATHER_CONCERNS_NARR
20749,,08/10/2015 12:00:00,,,,2990066.0,2989918.0,,,,NONE,,,,,,,Evaluate lifting evacuation advisories.,Evaluate lifting evacuation advisories if not already lifted.,,2303.0,2990055.0,,A,,,2978328,,,,,,2989936.0,,,,3358.0,4321779,Bret Gouvea CAL FIRE IMT 1,,,,,,4321662,,,,EVACUATIONS AND CLOSURES:  Present evacuation advisories  and closures will likely remain in effect until the morning of August 3  2015.  -Advisory Evacuations remain in effect for the Steep Hollow Creek Community  from Chalk Bluff Road to Banner Quaker R,,,75.0,,,,Grass Valley,,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,,,The weather will be slightly cooler with increased moisture in the atmosphere. The fire will continue to smolder. In the event of fire spotting outside the containment lines an additional growth of 750 acres is possible.,Minimal fire growth is expected.  In the event of fire spotting outside the containment lines an additional growth of 750 acres is possible.,Little to no fire growth is expected.  In the event of fire spotting outside the containment lines an additional growth of 750 acres is possible.,The weather will return to a hot and dry pattern. The temperatures will increase slightly and the humidity will begin to drop from the absence of the monsoonal moisture. In the event of fire spotting outside the containment lines an additional growth of 7,,,2303.0,2990055.0,07/31/2015 12:00:00,,07/31/2015 08:00:00,,2015-07-31 20:00:00,,,The fire continued to smolder and back into the small interior islands.  A thunderstorm passed directly over the fire.  There were multiple lighting strikes however  there was little to no precipitation over the fire.  The outflow winds were reported in e,S,U,,,,,,,,A thunderstorm passed directly over the fire.  There were multiple lighting strikes however  there was little to no precipitation over the fire.  The outflow winds were reported in excess of 20-30 MPH.  There remains a chance of thunderstorms through Satu
20750,,08/01/2015 12:00:00,P. Veneris,,,2990066.0,2989918.0,,,,(2) T1 CREWS  (3) HEQB,,,,,,,,,Evaluate lifting evacuation orders.,2233.0,2990055.0,,,,,2978328,5876243.0,,,,,2989936.0,,,,3359.0,4322232,Bret Gouvea CAL FIRE IMT 1,,,,,,4321662,,,,EVACUATIONS AND CLOSURES: -Mandatory- Red Dog Rd East of Greenhorn Creek  You Bet Road East of Greenhorn Creek  Chalk Bluff and Lowell Hill Roads 30-50 residences -Advisory- Cascade Shores Community 1500 residences -Forest Closure(s)- The Tahoe National F,,JZ4U,30.0,,,,Grass Valley,,,39.1919444,,,,,,,,,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,,,,,,,"Lyle Koegler, SITL",,High temperatures and low humidity will continue today. The absence of the inversion this morning  could lead to increased fire behavior with slope runs  short crown runs  and group torching. Potential for growth of 1 000 acres is possible.,Temperatures will increase with poor recovery in humidities during the nighttime hours. The high pressure will reduce the strength of the winds but slope driven runs are still a threat with the steep terrain. Potential fire growth of an additional 1 500 a,The hot dry weather will remain in effect  with continued poor humidity recovery through the nighttime hours. If the fire progresses to the northeast in the Steephallow Creek drainage from the previous operational period it may produce head runs in two se,,There is a slight change in the weather pattern which will bring cooler temps and increased humidities.,,,,,,07/27/2015 20:15:00,,2015-07-28 08:00:00,,,Fire Behavior was active through the night with multiple uphill runs  group torching  and short crown runs. No inversion  poor humidity recovery  and moderate winds through the operational period contributed to elevated fire behavior. ,,U,,,,ONCC,,,,DRYING AND WARMING TREND WILL CONTINUE TODAY THROUGH THURSDAY WITH POOR RECOVERIES. No precipitation is expected near the fire site until at least the end of the week. This Friday  there is a slight change in the weather pattern which will bring cooler te
20772,,,,,,2990066.0,2989918.0,,,,NONE,,,,,,Evaluate lifting evacuation advisories.,Evaluate lifting evacuation advisories if not already lifted.,,,2304.0,2990055.0,,A,,,2978328,,,,,,2989936.0,,,,3381.0,4321812,Bret Gouvea CAL FIRE IMT 1,,,,,,4321662,,,,EVACUATIONS AND CLOSURES:  Present evacuation advisories and closures will likely remain in effect until the morning of August 3  2015.  -Advisory Evacuations remain in effect for the Steep Hollow Creek Community  from Chalk Bluff Road to Banner Quaker Ro,,,85.0,,,,Grass Valley,,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,,,Dry and cooler weather is expected for the fire area  but little impact on fire behavior as smoldering and creeping continues.  In the event of fire spotting outside the containment lines additional growth of 750 acres is possible.,Seasonable weather conditions return and no thunderstorms are forecast in the vicinity of the fire.  Little to no fire growth is forecast to occur. In the event of fire spotting outside the containment lines additional growth of 750 acres is possible.  ,Seasonable weather with slightly stronger afternoon up-canyon winds.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible. ,Seasonable weather with slightly stronger afternoon up-canyon winds.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,,,2304.0,,,,08/02/2015 08:00:00,,2015-08-02 20:00:00,,,Consumption of heavier fuels well inside containment lines continues.,S,U,,,,,,,,Dry and cooler weather is expected for the fire area through Monday. Up slope/up valley winds during the day Becoming downslope/down valley each night by 10 pm.  Anticipated Fire Behavior: Growth Potential: Low Difficulty of Terrain: High  Current Weather
20773,,,,,,2990066.0,2989918.0,,,,NONE,,,,,,,,Evaluate lifting evacuation advisories.,,2303.0,2990055.0,,,,,2978328,,,,,,2989936.0,,,,3382.0,4322287,Bret Gouvea CAL FIRE IMT 1,,,,,,4321662,,,,EVACUATIONS AND CLOSURES:  Present evacuation advisories  and closures will likely remain in effect until the morning of August 3  2015.  -Advisory Evacuations remain in effect for the Steep Hollow Creek Community  from Chalk Bluff Road to Banner Quaker R,,,75.0,,,,Grass Valley,,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,,,The weather will be slightly cooler with increased moisture in the atmosphere. The fire will continue to smolder. In the event of fire spotting outside the containment lines an additional growth of 750 acres is possible.,The weather will continue to change with the introduction of increased monsoonal moisture. The temperature will decrease slightly with a an increase in humidity. The weather change will have only a slight effect on the fire behavior. In the event of fire ,The full effect of the cooling and monsoonal moisture will be over the fire area  however there is little chance of wetting rain. The weather will not change enough to reduce the possibility of fire growth.  In the event of fire spotting outside the conta,The will return to a hot and dry pattern. The temperatures will increase slightly and the humidity will begin to drop from the absence of the monsoonal moisture. In the event of fire spotting outside the containment lines an additional growth of 750 acres,,,,,,,07/30/2015 20:00:00,,2015-07-31 08:00:00,,,The fire continued to smolder and back into the small interior islands. Monsoonal moisture continues to move into the region east of the fire.,,U,,,,,,,,Monsoonal moisture continues to move into the area of the fire.  However  this is expected to provide minimal relief with respect to temperature and RH.  Thunderstorms or wetting rain are unlikely in the fire area.  Today's Fire behavior:   Growth potenti
20800,,,,,,2990066.0,2989918.0,,,,NONE,,,,,,,,,,2304.0,2990055.0,,A,,,2978328,,,,,,2989936.0,,,,3409.0,4321836,Bret Gouvea CAL FIRE IMT 1,,,,,,4321662,,,,EVACUATIONS AND CLOSURES:  Present evacuation advisories and closures will likely remain in effect until this morning August 3  2015.  -Advisory Evacuations remain in effect for the Steep Hollow Creek Community  from Chalk Bluff Road to Banner Quaker Road,,,85.0,,,,Grass Valley,,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,,,A modest cooling trend is expected at the burn area through at least Tuesday  but little impact on fire behavior as smoldering and creeping continues.  In the event of fire spotting outside the containment lines additional growth of 750 acres is possible.,Seasonable weather with typical afternoon up-canyon winds.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,Seasonable weather with typical afternoon up-canyon winds.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible. ,Seasonable weather with typical afternoon up-canyon winds.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,,,2304.0,2990055.0,,,08/02/2015 20:00:00,,2015-08-03 08:00:00,,,NIROPS information identified 1 isolated heat source just outside of the fire perimeter in division D.  In the remainder of the fire  heavier fuels continue to consume well inside containment lines.,,U,,,,,,,,MODEST COOLING TREND IS EXPECTED AT THE BURN AREA THROUGH AT LEAST TUESDAY. UPSLOPE/UPVALLEY WINDS DURING THE DAY WILL BECOME DOWNSLOPE/DOWNVALLEY EACH NIGHT BY 10 PM.   Anticipated Fire Behavior: Growth Potential: Low Difficulty of Terrain: High  Current
20801,,08/11/2015 12:00:00,,,,2990066.0,2989916.0,,,,NONE,,,,,,,,,,2304.0,2990055.0,,A,,,2978328,18000000.0,,,,,2989936.0,,,Heavier fuels continue to consume well within containment lines. Dry needlecast providing secondary fuel source in some locations.,3410.0,4322327,Brian York CAL FIRE,,,,,,4321662,2990082.0,,,EVACUATIONS AND CLOSURES:  All evacuation advisories have been lifted.  -Forest Closure(s)- The Tahoe National Forest is maintaining a forest closure with specified exemptions for the fire area.  ROAD CLOSURES: Red Dog Road at Chalk Bluff Road Red Dog Roa,,JZ4U,90.0,,,,Grass Valley,57.0,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,"Elsa Hucks, SITL",08/06/2015 23:45:00,Cloudy  expectation of showers and thunderstorms. Little impact on fire behavior as smoldering and creeping continues. In the event of fire spotting outside the containment lines additional growth of 750 acres is possible. ,Mostly cloudy with scattered showers and isolated thunderstorms. Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,Mostly clear sky  southwest winds 4 to 7 mph.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of 750 acres is possible. ,Mostly sunny. Southwest winds up to 15 mph expected.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,,18070860.0,2304.0,2990055.0,07/31/2015 12:00:00,,08/06/2015 20:00:00,,2015-08-07 08:00:00,,,,,U,,,08/06/2015 23:46:00,,,,,Fire weather watch in effect from Thursday evening through Friday afternoon. An upper low moving inland generating nocturnal shower and thunderstorm activity. Gusty and erratic winds expected near thunderstorms.   Anticipated Fire Behavior: Growth Potenti
20832,,,,,,2990066.0,2989918.0,,,,NONE,,,,,,Evaluate lifting evacuation advisories.,Evaluate lifting evacuation advisories if not already lifted.,,,2304.0,2990055.0,,A,,,2978328,,,,,,2989936.0,,,,3441.0,4321859,Bret Gouvea CAL FIRE IMT 1,,,,,,4321662,,,,EVACUATIONS AND CLOSURES:  Present evacuation advisories and closures will likely remain in effect until the morning of August 3  2015.  -Advisory Evacuations remain in effect for the Steep Hollow Creek Community  from Chalk Bluff Road to Banner Quaker Ro,,JZ4U,80.0,,,,Grass Valley,,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,,,Slightly cooler and more moist conditions but little impact on fire behavior as smoldering and creeping continues.  In the event of fire spotting outside the containment lines additional growth of 750 acres is possible.,Seasonable weather conditions return and no thunderstorms are forecast in the vicinity of the fire.  Little to no fire growth is forecast to occur. In the event of fire spotting outside the containment lines additional growth of 750 acres is possible.  ,Seasonable weather with slightly stronger afternoon up-canyon winds.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible. ,Seasonable weather with slightly stronger afternoon up-canyon winds.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,,,2304.0,2990055.0,,,08/01/2015 20:00:00,,2015-08-02 08:00:00,Y,,Consumption of heavier fuels well inside containment lines continues.,S,U,,,,,,,,Quiet weather is forecast Sunday through early next week with a return to more seasonable temperature and humidity readings. Winds will generally be light and from the southwest during the afternoon hours.  Thunderstorms will remain east of the incident  
20833,,08/11/2015 12:00:00,,,,2990066.0,2989916.0,,,,NONE,,,,,,,,,,2304.0,2990055.0,,A,,,2978328,17800000.0,,,,,2989936.0,,,Heavier fuels continue to consume well within containment lines. Dry needlecast is beginning to fall  providing secondary fuel source in some locations.,3442.0,4322344,Chris Paulus CAL FIRE,,,,,,4321662,,,,EVACUATIONS AND CLOSURES:  All evacuation advisories have been lifted.  -Forest Closure(s)- The Tahoe National Forest is maintaining a forest closure with specified exemptions for the fire area.  ROAD CLOSURES: Red Dog Road at Chalk Bluff Road Red Dog Roa,,JZ4U,87.0,,,,Grass Valley,57.0,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,"Elsa Hucks, SITL",,Partly cloudy with an approaching front and light winds  but little impact on fire behavior as smoldering and creeping continues. In the event of fire spotting outside the containment lines additional growth of 750 acres is possible.,Continued cloud cover  possible light showers.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,Stronger low pressure moving in with chance of thunderstorms and dry lightning.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of 750 acres is possible. ,Threat of dry lightning continues into Friday.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,,18070860.0,2304.0,2990055.0,07/31/2015 12:00:00,,08/04/2015 20:00:00,,2015-08-05 10:00:00,,,,,U,,,,,,,,Weak weather disturbance will be passing north of the fire site Tuesday evening into early Wednesday morning bringing clouds and possible light rain. A stronger low pressure system may impact the fire site Thursday night and Friday with thunderstorms.   A
20860,,,,,,2990066.0,2989918.0,,,,,,,,,Evacuations remain in place for 30-50 residences on Lowell Hill and Red Dog Roads. An evacuation advisory remains in effect for 1500 homes in the Cascade Shores and Gold Run/Alta areas.,,,,,1700.0,2990055.0,,A,,,2978328,,,,,,2989928.0,,,,3469.0,4321886,Bret Gouvea CAL FIRE IMT 1,,,,,,4321662,,,,4 firefighters sustained minor to moderate burn injuries and were transported via airship to U.C. Davis Burn Center yesterday at approximately 1645.  Only 1 of the injuries meets 209 reportable injury criteria at this time.  Multiple fire apparatus of var,,,20.0,,,,Grass Valley,,,39.1919444,,,,,,,,,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,,,,,,,,,The fire will progress northeast up the Steephollow Creek drainage aided by the up canyon winds. The fire still has the potential to establish in the Bear River drainage. The weather is getting warmer and drier  which could lead to fire growth up to 1 000,The weather will persist with high temperatures and low humidities  and poor recovery in the nighttime hours. The high pressure will reduce the strength of the winds but slope driven runs are still a threat with the steep terrain. Potential fire growth of,The hot dry weather will remain in effect  with continued poor humidity recovery through the nighttime hours. If the fire progresses to the northeast in the Steephallow Creek drainage in the initial 24 hours it will be pushed into two drainages. This coul,,,,,,,,07/26/2015 20:00:00,,2015-07-27 08:00:00,,,The fire continued to burn actively through night the despite the higher humidities. There was torching and short range crown runs creating short range spotting. The fire grew to the north by approximately 50 acres with a south southeast wind on the north,S,U,,,,,,,,Becoming more westerly on Monday into Tuesday with Lowering humidity expected. DRYING AND WARMING TREND WILL CONTINUE INTO MIDWEEK WITH POOR RECOVERIES. No precipitation is expected near the fire site until at least the end of the week.  Today's forecast:
20861,,08/11/2015 12:00:00,"David Krussow, PSC",,,2990066.0,2989916.0,,,,NONE,,,,,,,,,,2304.0,2990055.0,,A,,,2978328,17493200.0,,,,,2989936.0,,,,3470.0,4322431,Chris Paulus CAL FIRE,,,,,,4321662,2990082.0,,,EVACUATIONS AND CLOSURES:  All evacuation advisories have been lifted.  -Forest Closure(s)- The Tahoe National Forest is maintaining a forest closure with specified exemptions for the fire area.  ROAD CLOSURES: Red Dog Road at Chalk Bluff Road Red Dog Roa,,JZ4U,85.0,,,,Grass Valley,,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,Elsa Hucks,08/04/2015 00:30:00,Dry weather with temperatures increasing to normal  but little impact on fire behavior as smoldering and creeping continues. In the event of fire spotting outside the containment lines additional growth of 750 acres is possible.,Seasonable weather with typical afternoon up-canyon winds.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,Increasing temperatures with typical afternoon up-canyon winds.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible. ,Increased temperatures with potential dry lightning forecast for Thursday.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,,18070860.0,2304.0,2990055.0,07/31/2015 12:00:00,,08/03/2015 18:00:00,,2015-08-04 08:00:00,Y,,Heavier fuels continue to consume well within containment lines.,S,U,,,08/04/2015 00:34:35,CA North Ops,,,,MODEST COOLING TREND IS EXPECTED AT THE BURN AREA THROUGH AT LEAST TUESDAY. UPSLOPE/UPVALLEY WINDS DURING THE DAY WILL BECOME DOWNSLOPE/DOWNVALLEY EACH NIGHT BY 10 PM.   Anticipated Fire Behavior: Growth Potential: Low Difficulty of Terrain: High  Current
20880,,08/01/2015 12:00:00,P. Veneris,,,2990066.0,2989918.0,,,,,,,,,,,,,Evaluate lifting evacuation orders.,2303.0,2990055.0,,A,,,2978328,8524069.0,,,,,2989936.0,,,,3489.0,4321936,Bret Gouvea CAL FIRE IMT 1,,,,,,4321662,,,,EVACUATIONS AND CLOSURES: -Reduced to Warning(s)- Red Dog Rd East of Greenhorn Creek  You Bet Road East of Greenhorn Creek  Chalk Bluff from Brady Road to Buckeye Road  Buckeye Road to Lower Greenhorn Road  Lower Greenhorn Road from Buckeye Road to Banner,,JZ4U,40.0,,,,Grass Valley,,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,"Lyle Koegler, SITL",,Poor humidity recovery and warmer temperatures will keep the fire active through the night with slope runs  torching and short range spotting. The fire will have potential to grow 500 acres under these conditions.,The hot and dry weather will continue to dry fuels. The fire will become active early in the morning with up canyon winds developing around 1400  with slope runs  torching and short range spotting. The fire will progress northeast in the Steephollow Drain,The hot dry weather will remain in effect  with continued poor humidity recovery through the nighttime hours. The fire will continue with wind driven and slope runs  torching and short range spotting. If the fire establishes in the S Fork Greenhorn draina,,,,,,,,07/28/2015 08:00:00,,2015-07-28 20:00:00,Y,,The fire behavior increased earlier today due to a weak inversion last night. The fire spotted on the north ridge in Div D  into the upper portion of the S. Fork Greenhorn drainage. Slope and wind driven runs occurred along with torching and short range s,S,U,,,,ONCC,,,,DRYING AND WARMING TREND WILL CONTINUE TODAY THROUGH THURSDAY WITH POOR RECOVERIES. No precipitation is expected near the fire area until at least the end of the week. This Friday  there is a slight change in the weather pattern which will bring cooler te
20881,,08/11/2015 12:00:00,,,,2990066.0,2989916.0,,,,NONE,,,,,,,,,,2304.0,2990055.0,,A,,,2978328,17920000.0,,,,,2989936.0,,,Heavier fuels continue to consume well within containment lines. Dry needlecast providing secondary fuel source in some locations.,3490.0,4322398,Chris Paulus CAL FIRE,,,,,,4321662,,,,EVACUATIONS AND CLOSURES:  All evacuation advisories have been lifted.  -Forest Closure(s)- The Tahoe National Forest is maintaining a forest closure with specified exemptions for the fire area.  ROAD CLOSURES: Red Dog Road at Chalk Bluff Road Red Dog Roa,,JZ4U,88.0,,,,Grass Valley,,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,,,Warmer and drier today with lower relative humidity  but little impact on fire behavior as smoldering and creeping continues. In the event of fire spotting outside the containment lines additional growth of 750 acres is possible.,Temperatures continue to warm  with cloud cover due to approaching low pressure system.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,Low pressure moving in with chance of thunderstorms and dry lightning into Friday morning.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of 750 acres is possible. ,Continued threat of storms with lightning and potential moisture.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,,,2304.0,2990055.0,,,08/05/2015 08:00:00,,2015-08-05 20:00:00,,,,S,U,,,,,,,,Weak weather disturbance will be passing north of the fire site Tuesday evening into early Wednesday morning bringing clouds and possible light rain. A stronger low pressure system may impact the fire site Thursday night and Friday with thunderstorms.   A
20907,,,,,,2990066.0,2989918.0,,,,,,,,,,,,,,2303.0,2990055.0,,A,,,2978328,9173051.0,,,,,2989936.0,,,,3516.0,4321992,Bret Gouvea CAL FIRE IMT 1,,,,,,4321662,,,,EVACUATIONS AND CLOSURES: -Warning(s)- Red Dog Rd East of Greenhorn Creek  You Bet Road East of Greenhorn Creek  Chalk Bluff from Brady Road to Buckeye Road  Buckeye Road to Lower Greenhorn Road  Lower Greenhorn Road from Buckeye Road to Banner Quaker Hil,,JZ4U,45.0,,,,Grass Valley,,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,,,The limited humidity recovery overnight will increase fire behavior early in the day. Fire behavior will be most active around 1400 with short slope runs  wind driven fire  torching and short range spotting. The fire will have potential to grow 1 000 acre,The hot and dry weather will continue to dry fuels. The fire will become active early in the morning with upcanyon winds developing around 1400  with slope runs  torching and short range spotting. The fire will progress northeast in the Steephollow Draina,The hot dry weather will remain in effect  with continued poor humidity recovery through the nighttime hours. The fire will continue with wind and slope runs  torching and short range spotting. If the fire establishes in the S Fork Greenhorn drainage it w,The weather should start to change  with the introduction of monsoonal moisture. The temperature will decrease slightly and the humidity will increase. This change in weather will have slight impact on the fire behavior. Growth potential of an additional ,,,,,,,07/28/2015 20:00:00,,2015-07-29 08:00:00,Y,,The fire behavior was moderate with the poor humidity recovery. The winds created short runs and torching in some of the unburned fuels.,S,U,,,,,,,,DRYING AND WARMING TREND WILL CONTINUE TODAY THROUGH THURSDAY WITH POOR RECOVERIES. No precipitation is expected near the fire area until at least the end of the week. This Friday  there is a slight change in the weather pattern which will bring cooler te
20908,,08/11/2015 12:00:00,,,,2990066.0,2989916.0,,F2392,,NONE,,,,,,,,,,2304.0,2990055.0,,A,,,2978328,18000000.0,,,,,2989936.0,,,Heavier fuels continue to consume well within containment lines. Dry needlecast providing secondary fuel source.,3517.0,4322415,Brian York CAL FIRE,,,,,,4321662,2990082.0,,,EVACUATIONS AND CLOSURES:  All evacuation advisories have been lifted.  -Forest Closure(s)- The Tahoe National Forest is maintaining a forest closure with specified exemptions for the fire area.  ROAD CLOSURES: Red Dog Road at Chalk Bluff Road Red Dog Roa,,JZ4U,90.0,,,,Grass Valley,57.0,,39.1919444,,,,,,10E,5.0,15N,-120.8822222,Lowell Hill Road in Steephollow Canyon,6.0,82894.0,40213.0,10SFJ,682894.0,4340213.0,10.0,"Elsa Hucks, SITL",08/06/2015 20:00:00,Cloudy  expectation of showers and thunderstorms. Little impact on fire behavior as smoldering and creeping continues. In the event of fire spotting outside the containment lines additional growth of 750 acres is possible. ,Mostly cloudy with scattered showers and isolated thunderstorms. Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,Mostly clear sky  southwest winds 4 to 7 mph.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of 750 acres is possible. ,Mostly sunny. Southwest winds up to 15 mph expected.  Little to no fire growth is forecast to occur.  In the event of fire spotting outside the containment lines additional growth of  750 acres is possible.  ,,18070860.0,2304.0,2990055.0,07/31/2015 12:00:00,,08/06/2015 08:00:00,,2015-08-06 20:00:00,,,,S,U,,,08/06/2015 18:56:08,CA North Ops,,,,Fire weather watch in effect from Thursday evening through Friday afternoon. An upper low will move inland Thursday night generating nocturnal shower and thunderstorm activity. Gusty and erratic winds expected near thunderstorms.   Anticipated Fire Behavi
